Name,Address,City,State,Zip Code,Phone,Facility Type,License Type,Capacity,Ages,Current Subsidy Provider
Alpha Beta Cappa Christian Academy,7425 Chesapeake Blvd,NORFOLK,VA,23513,(757) 857-5215,Child Day Center,Two Year,137,2 years - 12 years 11 months,Yes
Alpha-Bet Preschool,10047 Nokesville Road,MANASSAS,VA,20110-4131,(703) 361-8689,Child Day Center,Two Year,50,3 years - 6 years 11 months,No
AlphaBEST @ Brighton Elementary,1100 Portsmouth Boulevard,PORTSMOUTH,VA,23704,(757) 807-0850,Child Day Center,Conditional,75,4 years 11 months - 12 years,Yes
AlphaBEST @ Churchland Academy Elementary,4061 River Shore Road,PORTSMOUTH,VA,23703,(757) 807-0202,Child Day Center,Conditional,75,3 years 11 months - 12 years 11 months,Yes
AlphaBEST @ Churchland Elementary,5601 Michael Lane,PORTSMOUTH,VA,23703,(757) 807-0624,Child Day Center,Conditional,75,4 years 11 months - 12 years,Yes
AlphaBEST @ Churchland Primary & Intermediate,5700 Hedgerow Lane,PORTSMOUTH,VA,23703,(757) 807-0196,Child Day Center,Conditional,75,4 years 11 months - 12 years,Yes
AlphaBEST @ Douglass Park Elementary,34 Grand Street,PORTSMOUTH,VA,23701,(757) 807-1142,Child Day Center,Conditional,75,4 years 11 months - 12 years 11 months,Yes
AlphaBEST @ Hodges Manor Elementary,1201 Cherokee Road,PORTSMOUTH,VA,23701,(757) 807-0312,Child Day Center,Conditional,75,4 years 11 months - 12 years,Yes
AlphaBEST @ John Tyler Elementary,3649 Hartford Street,PORTSMOUTH,VA,23707,(757) 807-0762,Child Day Center,Conditional,75,4 years 11 months - 12 years 11 months,Yes
AlphaBEST @ Lakeview Elementary,1300 Horne Avenue,PORTSMOUTH,VA,23701,(757) 807-0594,Child Day Center,Conditional,75,4 years 11 months - 12 years 11 months,Yes
AlphaBEST @ Mt. Hermon Preschool Center,3000 North Street,PORTSMOUTH,VA,23707,(757) 807-0200,Child Day Center,Conditional,75,3 years 11 months - 5 years 11 months,Yes
AlphaBEST @ Olive Branch Preschool Center,415 Mimosa Road,PORTSMOUTH,VA,23701,(757) 807-1095,Child Day Center,Conditional,75,Jackie Ware: (757) 404-3063,Yes
AlphaBEST @ Park View Elementary,260 Elm Avenue,PORTSMOUTH,VA,23704,(757) 807-0667,Child Day Center,Conditional,75,4 years 11 months - 12 years,Yes
AlphaBEST @ Simonsdale Elementary,4841 Clifford Street,PORTSMOUTH,VA,23701,(757) 807-0869,Child Day Center,Conditional,75,4 years 11 months - 12 years,Yes
AlphaBEST @ Victory Elementary,2828 Greenwood Drive,PORTSMOUTH,VA,23701,No phone number available,Child Day Center,Conditional,75,5 years - 12 years 11 months,Yes
AlphaBEST @ Westhaven Elementary,3701 Clifford Street,PORTSMOUTH,VA,23707,(757) 807-0612,Child Day Center,Conditional,75,4 years 11 months - 12 years,Yes
AlphaBEST at Parkside Middle,8602 Mathis Avenue,MANASSAS,VA,20110,No phone number available,Child Day Center,Two Year,"2:30 .p.m. - 6:30 p.m., Monday - Friday",25,Yes
AlphaBEST at Pattie Elementary,16125 Dumfries Road,DUMFRIES,VA,22026,(703) 583-8503,Child Day Center,Two Year,"6:00 a.m. 2:30p.m. - 8:15 a.m. 6:30 p.m., Monday - Friday",75,Yes
AlphaBEST at Round Elementary,10100 Hasting Drive,MANASSAS,VA,20110,(571) 377-6400,Child Day Center,Two Year,"6:00am-9:00am - 3:00pm-:30pm, Monday - Friday",45,Yes
AlphaBEST at Williams Elementary,3100 Panther Pride Drive,DUMFRIES,VA,22026,(703) 221-2409,Child Day Center,Two Year,"6;00am - 6:30pm, Monday - Friday",105,Yes
AlphaBEST at Alvey Elementary,5300 Waverly Farm Drive,HAYMARKET,VA,20169,(571) 261-3997,Child Day Center,Two Year,"6:00 a.m.-9:00 a.m. - 3:00 p.m.-6:30 p.m., Monday - Friday",125,Yes
AlphaBEST at Baldwin Elementary,1978 Eagle Way,MANASSAS,VA,20110,(571) 377-6169,Child Day Center,Two Year,"6:30 am-8:45 a.m. - 3:30 p.m.-6:30 pm, Monday - Friday",70,Yes
AlphaBEST at Belmont Elementary,751 Norwood Lane,WOODBRIDGE,VA,22191,(703) 490-2185,Child Day Center,Two Year,"6:00am and 2:55pm - 8:15am and 6:30 pm, Monday - Friday",50,Yes
AlphaBEST at Bennett Elementary,8800 Old Dominion Drive,MANASSAS,VA,20110,(703) 257-9019,Child Day Center,Two Year,"6 am - 9:10am - 3:50pm -6:30pm, Monday - Friday",105,Yes
AlphaBEST at Benton Middle,7411 Hoadley Road,MANASSAS,VA,20112,(703) 794-8188,Child Day Center,Two Year,"6:00 AM, 3:00 PM - 8:20 AM, 6:30 PM, Monday - Friday",25,Yes
AlphaBEST at Buckland Mills Elementary,10511 Wharfdale Place,GAINESVILLE,VA,20155,(571) 248-8223,Child Day Center,Two Year,"6 am and 3:55 pm - 9:15am and 6:30 pm, Monday - Friday",105,Yes
AlphaBEST at Bull Run Middle,6308 Catharpin Road,GAINESVILLE,VA,20155,(703) 753-2112,Child Day Center,Two Year,"2:55pm - 6:30pm, Monday - Friday",25,Yes
AlphaBEST at Cedar Point Elementary,12601 Braemar Parkway,BRISTOW,VA,20136,(703) 365-2606,Child Day Center,Two Year,"6:00 a.m., 3:00 p.m - 9:00 a.m., 6:30 p.m., Monday - Friday",90,Yes
AlphaBEST at Chris Yung Elementary School,12612 Foglight Way,BRISTOW,VA,20136,(571) 598-3521,Child Day Center,Two Year,"6am and 3:55pm - 9:15am and 6:30pm, Monday - Friday",105,Yes
AlphaBEST at Coles Elementary,7405 Hoadly Road,MANASSAS,VA,20112,(703) 791-5691,Child Day Center,Two Year,"6:00 a.m. / 3:30 p.m - 9:00am / 6:30 p.m., Monday - Friday",50,Yes
AlphaBEST at Covington-Harper Elementary,2500 River Heritage Boulavard,DUMFRIES,VA,22026,(571) 320-4403,Child Day Center,Two Year,"6:00 AM - 6:30 PM, Monday - Friday",100,Yes
AlphaBEST at Dale City Elementary,14450 Brook Drive,WOODBRIDGE,VA,22193,(703) 580-8455,Child Day Center,Two Year,"6:00am-9-00am - 3:00-6:30pm, Monday - Friday",50,Yes
AlphaBEST at Dumfries Elementary,3990 Cameron Street,DUMFRIES,VA,22026,(703) 216-0381,Child Day Center,Two Year,"6:00 a.m.; 3:40 p.m. - 9:00 a.m.; 6:30 p.m., Monday - Friday",45,Yes
AlphaBEST at Ellis Elementary,10400 Kim Grahm Lane,MANASSAS,VA,20109,(703) 365-0223,Child Day Center,Two Year,"6:00 a.m., 3:40 p.m. - 9:00 a.m., 6:30 p.m., Monday - Friday",75,Yes
AlphaBEST at Enterprise Elementary,13900 Lindendale Road,WOODBRIDGE,VA,22193,(703) 590-3240,Child Day Center,Two Year,"6:00 a.m. and 3:30 p.m. - 9:00 a.m and 6:30 p.m., Monday - Friday",50,Yes
AlphaBEST at Featherstone Elementary,14805 Blackburn Road,WOODBRIDGE,VA,22191,(703) 552-2926,Child Day Center,Conditional,60,5 years 11 months - 12 years 11 months,Yes
AlphaBEST at Fitzgerald Elementary,15500 Benita Fitzgerald Drive,WOODBRIDGE,VA,22193,(703) 362-7756,Child Day Center,Two Year,"6:00am - 9:00am - 3:00pm - 6:30pm, Monday - Friday",105,Yes
AlphaBEST at Glenkirk Elementary,8584 Sedge Wren Drive,GAINESVILLE,VA,20155,(703) 753-9642,Child Day Center,Two Year,"6:00 a.m.- 9:00 a.m. - 3:40 p.m.-6:30 p.m., Monday - Friday",90,Yes
AlphaBEST at Gravely Elementary,4670 Waverly Farm Drive,HAYMARKET,VA,20169,(571) 248-4741,Child Day Center,Two Year,"6:00 a.m.-9:00 a.m. - 3:30 p.m.-6:30 p.m., Monday - Friday",105,Yes
AlphaBEST at Hampton Middle,14800 Darbydale Avenue,WOODBRIDGE,VA,22193,(703) 380-0289,Child Day Center,Two Year,"6:00 am and 2:30pm - 8:20 am and 6:30pm, Monday - Friday",25,Yes
AlphaBEST at Haymarket Elementary,15500 Learning Lane,HAYMARKET,VA,20169,(703) 468-2857,Child Day Center,Two Year,"6am and 3:55 pm - 9: 15 am and 6:30pm, Monday - Friday",105,Yes
AlphaBEST at John Jenkins Elementary,4060 Prince William Parkway,WOODBRIDGE,VA,22192,(703) 552-2926,Child Day Center,Conditional,60,5 years 11 months - 12 years 11 months,Yes
AlphaBEST at Kerrydale Elementary,13199 Kerrydale Road,WOODBRIDGE,VA,22193,(703) 590-2556,Child Day Center,Two Year,"6:00 a.m. / 3:40 p.m. - 9:00am / 6:30 p.m., Monday - Friday",100,Yes
AlphaBEST at Kilby Elementary,1800 Horner Road,WOODBRIDGE,VA,22191,(703) 537-6878,Child Day Center,Two Year,"6:00 AM - 6:30 PM, Monday - Friday",120,Yes
AlphaBEST at King Elementary,13224 Nickleson Drive,WOODBRIDGE,VA,22193,(703) 590-1616,Child Day Center,Two Year,"6:00am-9:00am - 3:00pm-6:30pm, Monday - Friday",105,Yes
AlphaBEST at Lake Ridge Elementary,11970 Hedges Run Drive,WOODBRIDGE,VA,22192,(703) 491-8303,Child Day Center,Two Year,"6:00 a.m. / 3:30 p.m. - 9:00 a.m. / 6:30 p.m., Monday - Friday",104,Yes
AlphaBEST at Leesylvania Elementary,15800 Neabsco Road,WOODBRIDGE,VA,22191,(703) 583-8801,Child Day Center,Two Year,"6:00 a.m. - 6;30 p.m., Monday - Friday",75,Yes
AlphaBEST at Marshall Elementary,12505 Kahns Road,MANASSAS,VA,20112,(703) 791-8252,Child Day Center,Two Year,"6:00 a.m. / 3:30 p.m. - 9:00 a.m / 6:30 p.m., Monday - Friday",105,Yes
AlphaBEST at Marumsco Hills Elementary,14100 Page Street,WOODBRIDGE,VA,22191,(703) 362-7756,Child Day Center,Two Year,"6am and 3pm - 9 am and 6:30pm, Monday - Friday",50,Yes
AlphaBEST at McAuliffe Elementary,13540 Princedale Drive,WOODBRIDGE,VA,22193,(703) 680-0192,Child Day Center,Two Year,"6:00 a.m. 3:00 p.m. - 9:00 a.m. 6:30 p.m., Monday - Friday",75,Yes
AlphaBEST at Montclair Elementary,4920 Tallowwood Drive,DUMFRIES,VA,22025,(703) 730-8039,Child Day Center,Two Year,"6:00 a.m., 3:00 p.m. - 9:00 a.m., 6:30 p.m., Monday - Friday",75,Yes
AlphaBEST at Neabsco Elementary,3800 Cordell Avenue,WOODBRIDGE,VA,22193,(703) 670-2807,Child Day Center,Two Year,"6:00 to 9:00am - 3:00 to 6:30pm, Monday - Friday",50,Yes
AlphaBEST at Nokesville Elementary School,12375 Aden Road,NOKESVILLE,VA,20181,(571) 781-3104,Child Day Center,Two Year,"6:00 a.m.-9:00 a.m. - 3:00 p.m.-6:30 p.m., Monday - Friday",75,Yes
AlphaBEST at Occoquan Elementary,12915 Occoquan Road,WOODBRIDGE,VA,22192,(703) 494-4559,Child Day Center,Two Year,"6:00am - 9:00am - 3:00pm - 6:30pm, Monday - Friday",50,Yes
AlphaBEST at Old Bridge Elementary,3051 Old Bridge Road,WOODBRIDGE,VA,22192,(703) 490-3414,Child Day Center,Two Year,"6:00am - 9:00am - 3:00pm - 6:30pm, Monday - Friday",75,Yes
AlphaBEST at Penn Elementary,12980 Queen Chapel Road,WOODBRIDGE,VA,22193,(703) 580-8435,Child Day Center,Two Year,"6:00 a.m. 3:00 p.m. - 9:00 a.m. 6:30 p.m., Monday - Friday",90,Yes
AlphaBEST at Pennington Traditional,9305 Stonewall Road,MANASSAS,VA,20110,(703) 530-9769,Child Day Center,Two Year,"6:00 a.m. - 9:00 a.m. - 3:40 p.m. - 6:30 p.m., Monday - Friday",60,Yes
AlphaBEST at Piney Branch,8301 Linton Hall Road,BRISTOW,VA,20136,(571) 261-5070,Child Day Center,Two Year,"6:00 a.m.-9:00 a.m. - 3:45 p.m.-6:30 p.m., Monday - Friday",160,Yes
AlphaBEST at Porter Traditional,15311 Forest Grove Lane,WOODBRIDGE,VA,22191,(703) 580-9492,Child Day Center,Two Year,"6:00 a.m. 3:00 p.m. - 8:50 a.m. 6:30 p.m., Monday - Friday",180,Yes
AlphaBEST at Potomac Middle,3130 Panther Pride Drive,DUMFRIES,VA,22026,(703) 380-0146,Child Day Center,Two Year,"2:45 p.m. - 6:30 p.m., Monday - Friday",25,Yes
AlphaBEST at Potomac View Elementary,14601 Lamar Road,WOODBRIDGE,VA,22191,(571) 343-5477,Child Day Center,Two Year,"6:00 AM - 6:30 PM, Monday - Friday",45,Yes
AlphaBEST at Reagan Middle,15801 Tanning House Place,HAYMARKET,VA,20169,(703) 887-1651,Child Day Center,Two Year,"2:30pm - 6:30 pm, Monday - Friday",25,Yes
AlphaBEST at River Oaks Elementary,16950 McGuffey's Trail,WOODBRIDGE,VA,22191,(703) 853-3427,Child Day Center,Two Year,"6am-9:00am - 3:00pm-6:30pm, Monday - Friday",75,Yes
AlphaBEST at Rockledge Elementary,2300 Mariner Lane,WOODBRIDGE,VA,22192,(703) 497-0596,Child Day Center,Two Year,"6:00 a.m. / 3:30 p.m. - 9:00 a.m. / 6:30 p.m., Monday - Friday",100,Yes
AlphaBEST at Signal Hill Elementary,9553 Birmingham Drive,MANASSAS,VA,20111,(703) 530-9826,Child Day Center,Two Year,"6:00 am / 3:50 pm - 9:15 am /6:30 pm, Monday - Friday",75,Yes
AlphaBEST at Sinclair Elementary,7801 Garner Drive,MANASSAS,VA,20109,(703) 361-2166,Child Day Center,Two Year,"6:00 a.m.-9:00a.m. - 3:30 p.m. - 6:30 p.m., Monday - Friday",75,Yes
AlphaBEST at Swans Creek Elementary,17700 Wayside Drive,DUMFRIES,VA,22026,(703) 221-5826,Child Day Center,Two Year,"6:00am 3:45pm - 9:05am 6:30pm, Monday - Friday",90,Yes
AlphaBEST at T. Clay Wood Elementary,10600 Kettle Run Road,NOKESVILLE,VA,20181,(703) 594-2048,Child Day Center,Two Year,"6:00am / 3:00pm - 9:00am / 6:30pm, Monday - Friday",105,Yes
AlphaBEST at Triangle Elementary,3615 Lions Field Road,TRIANGLE,VA,22172,(703) 445-0434,Child Day Center,Two Year,"6:00 am & 3:40pm - 9:00 am & 6:30 pm, Monday - Friday",75,Yes
AlphaBEST at Tyler Elementary,14500 John Marshall Highway,GAINESVILLE,VA,20155,(703) 754-3018,Child Day Center,Two Year,"6:00 a.m.-9:00 a.m. - 3:00 p.m.-6:30 p.m., Monday - Friday",75,Yes
AlphaBEST at Vaughan Elementary,2200 York Drive,WOODBRIDGE,VA,22191,(703) 490-4435,Child Day Center,Two Year,"6:00 a.m. 3:00 p.m. - 9:00 a.m. 6:30 p.m., Monday - Friday",75,Yes
AlphaBEST at Victory Elementary,12001 Tygart Drive,BRISTOW,VA,20136,(703) 257-6392,Child Day Center,Two Year,"6:00 a.m. - 9:00 a.m. - 3:30 p.m. - 6:30 p.m., Monday - Friday",105,Yes
AlphaBEST at Weems Elementary,8750 Weems Road,MANASSAS,VA,20110,(571) 377-6500,Child Day Center,Two Year,"6:00am to 9:00am - 3:30pm-6:30pm, Monday - Friday",45,Yes
AlphaBEST at Westridge Elementary,12400 Knightsbridge Drive,WOODBRIDGE,VA,22192,(703) 730-0627,Child Day Center,Two Year,"6:00 a.m. - 9:00 a.m. - 3:30 p.m. - 6:30 p.m., Monday - Friday",90,Yes
AlphaBEST at Wilson Elementary,5710 Liberty Hill Court,WOODBRIDGE,VA,22193,(703) 408-2996,Child Day Center,Two Year,"6:00 am and 3:30p.m. - 9:00 a.m.and 6:30 p.m., Monday - Friday",130,Yes
AlphaBEST at Woodbridge Middle,2201 York Drive,WOODBRIDGE,VA,22191,(703) 517-2819,Child Day Center,Two Year,"2:10pm - 6:30pm, Monday - Friday",25,Yes
AlphaBest at Alexander Henderson Elementary,3799 Waterway Drive,DUMFRIES,VA,22025,(703) 590-3078,Child Day Center,Two Year,"6:00 am & 3:00 pm - 9:00 am & 6:30 pm, Monday - Friday",75,Yes
AlphaBest at Antietam Elementary,12000 Antietam Road,WOODBRIDGE,VA,22192,(703) 490-8637,Child Day Center,Two Year,"6 a.m. - 6:30 p.m., Monday - Friday",75,Yes
AlphaBest at Ashland Elementary,15300 Bowmans Folly Drive,MANASSAS,VA,20112,(703) 580-0819,Child Day Center,Two Year,"6:00 am & 3:30 pm - 9:00 am & 6:30 pm, Monday - Friday",105,Yes
AlphaBest at Bel Air Elementary,14151 Ferndale Road,WOODBRIDGE,VA,22193,(703) 583-8701,Child Day Center,Two Year,"6:00 am & 3:00 pm - 9:00 am & 6:30 pm, Monday - Friday",60,Yes
AlphaBest at Bristow Run Elementary,8990 Worthington Drive,BRISTOW,VA,20136,(703) 753-1825,Child Day Center,Two Year,"6:00am 3:25pm - 8:45am 6:30pm, Monday - Friday",105,Yes
AlphaBest at Minnieville Elementary,13639 Greenwood Drive,WOODBRIDGE,VA,22193,(703) 583-8603,Child Day Center,Two Year,"6:00am-9:00am - 3:00pm-6:30pm, Monday - Friday",50,Yes
AlphaBest at Mountain View Elementary,5600 McLeod Way,HAYMARKET,VA,20169,(703) 753-2737,Child Day Center,Two Year,"6:00 a.m.-9:00 a.m. - 3:30 p.m.-6:30 p.m., Monday - Friday",75,Yes
AlphaBest at Mullen Elementary,8000 Rodes Drive,MANASSAS,VA,20109,(703) 361-1534,Child Day Center,Two Year,"6:00 am & 3:40 pm - 9:00 am & 6:30 pm, Monday - Friday",90,Yes
AlphaBest at Rosa Parks Elementary,13446 Princedale Drive,WOODBRIDGE,VA,22193,(703) 580-9737,Child Day Center,Two Year,"6:00am 3:40pm - 9:00am 6:30pm, Monday - Friday",75,Yes
AlphaBest at Springwoods Elementary,3815 Marquis Place,WOODBRIDGE,VA,22192,(703) 590-8331,Child Day Center,Two Year,"6:00am, 3:25pm - 8:45am, 6:30pm, Monday - Friday",75,Yes
AlphaBest at Sudley Elementary,9744 Copeland Drive,MANASSAS,VA,20109,(703) 369-7954,Child Day Center,Two Year,"6am - 6:30pm, Monday - Friday",75,Yes
AlphaBest at Yorkshire Elementary,7610 Old Centerville Road,MANASSAS,VA,20110,(703) 530-4317,Child Day Center,Two Year,"6:00 am & 3:00 pm - 9:00 am & 6:30 pm, Monday - Friday",75,Yes
AlphaBest@James hurst Elementary,18 Dahlgreen Avenue,PORTSMOUTH,VA,23702,(757) 807-0279,Child Day Center,Conditional,75,4 years 11 months - 12 years 11 months,Yes
Alston's Village Learning Center,927 Aberdeen Road,HAMPTON,VA,23666,(757) 641-5116,Child Day Center,Provisional,15,3 years - 12 years 11 months,Yes
Alston's Village Learning Center LLC,923 Aberdeen Road,HAMPTON,VA,23666,(757) 864-0222,Child Day Center,Two Year,48,1 month - 12 years 11 months,Yes
Altavista Area YMCA Disc. PL-Rustburg,"25 Webb's Way Drive
Rustburg Elementary School",RUSTBURG,VA,24588,(434) 369-9622,Child Day Center,Two Year,75,4 years - 12 years 11 months,Yes
Altavista Area YMCA Discovery Place -Gretna,302 Franklin Blvd.,GRETNA,VA,24557,(434) 369-9622,Child Day Center,Two Year,75,4 years - 12 years 11 months,Yes
Altavista Area YMCA Discovery Place- Concord,"9339 Village Highway
Concord Elementary",CONCORD,VA,24538,(434) 369-9622,Child Day Center,Two Year,125,4 years - 12 years 11 months,Yes
Altavista YMCA Disc. PL-Leesville,"Leesville Elementary
25 Lewis Way",LYNCHBURG,VA,24502,No phone number available,Child Day Center,Two Year,128,4 years - 12 years 11 months,Yes
Altavista YMCA Disc. PL-Tomahawk,"Tomahawk Elementary
155 Bee Drive",LYNCHBURG,VA,24502,(434) 369-6842,Child Day Center,Two Year,125,4 years - 12 years 11 months,Yes
Altavista YMCA Disc. PL-Yellow Branch,"377 Dennis Riddle Drive
Yellow Branch Elementary School",RUSTBURG,VA,24588,(434) 369-9622,Child Day Center,Two Year,121,4 years - 12 years 11 months,Yes
Always Sonshine Learn and Play,11919 Rutherford Drive,FREDERICKSBURG,VA,22407,(540) 548-3355,Child Day Center,Two Year,76,1 month - 12 years 11 months,Yes
"Amanda's Development Child Care, LLC.",2004 Wickham Avenue,NEWPORT NEWS,VA,23607,(757) 245-5200,Child Day Center,Two Year,40,2 years 6 months - 12 years 11 months,Yes
Amberley Child Care,1547 & 1543 Amberley Forest Road,VIRGINIA BEACH,VA,23453,(757) 416-3526,Child Day Center,Two Year,74,1 month - 12 years 11 months,Yes
Amelia Educational Foundation,8741 N. Five Forks Road,AMELIA,VA,23002,(804) 561-2270,Child Day Center,Two Year,40,3 years - 6 years 11 months,No
Amelon Early Learning Center,621 Dillard Road,MADISON HEIGHTS,VA,24572,(434) 528-3294,Child Day Center,Two Year,139,Birth - 12 years 11 months,Yes
